longitude,latitude,month,day,avg_temp,max_temp,max_wind_speed,avg_wind,burned_area
3,6,12-Dec,04-thu,-11.2,-7.5,8.4,2.3,3
6,6,11-Nov,02-tue,2.6,11.2,5.9,0.8,10
5,6,03-Mar,05-fri,13.2,21.5,5.7,1.3,50
6,5,02-Feb,06-sat,-4,1.1,10.4,2.5,30
6,6,06-Jun,00-sun,23,32.1,6.7,1.7,8
5,5,05-May,03-wed,19.1,29.4,7.7,1.3,50
6,6,05-May,02-tue,17.8,27.6,5.8,1.2,20
5,6,04-Apr,06-sat,14,24.2,9.4,1.8,200
5,6,04-Apr,04-thu,10.9,19.1,10.4,2.2,9
6,6,04-Apr,01-mon,12.4,22.5,8.5,1.7,3
6,6,04-Apr,00-sun,12.1,21.5,9.3,1.7,150
6,6,03-Mar,00-sun,6.6,18.1,6.1,0.8,200
6,5,03-Mar,00-sun,6.6,18.1,6.1,0.8,60
6,5,03-Mar,06-sat,7.2,15.8,10,1.6,15
6,5,03-Mar,01-mon,5,12,6.3,1.7,10
5,6,03-Mar,06-sat,4.2,15.5,6.4,1.1,3
6,5,03-Mar,05-fri,2.3,11,7.4,1.7,5
6,5,03-Mar,05-fri,0.4,9.4,6.7,1.3,10
5,5,02-Feb,00-sun,-4.2,3.3,7.6,1.3,30
3,5,04-Apr,02-tue,16,23.3,13.9,3.9,50
3,5,05-May,06-sat,17.8,28.3,6.7,1.2,3
5,4,04-Apr,06-sat,17.3,27.5,7.4,1.2,1
5,4,04-Apr,05-fri,17.2,27.7,5.9,1.1,15
5,4,03-Mar,01-mon,6.5,15.7,6.3,1.5,1
5,3,02-Feb,02-tue,-2.7,4.3,9.4,1.9,1
5,3,06-Jun,03-wed,23.9,30.6,7.5,1.5,1
5,3,04-Apr,04-thu,12.2,19.9,10.5,2,17
5,4,04-Apr,00-sun,17.4,25.8,6.7,1.4,15
5,4,04-Apr,02-tue,12.8,21.8,8,1.4,50
5,4,04-Apr,01-mon,10.2,20,8.7,1.6,20
4,4,03-Mar,05-fri,7.3,14.2,5,1.4,1
5,4,03-Mar,03-wed,4.4,12.3,5.1,1.2,9
6,3,02-Feb,04-thu,4.8,11.8,9.4,1.9,45
4,4,06-Jun,00-sun,24.3,33.1,6.5,1.7,1
4,7,05-May,06-sat,19.2,27.1,6.5,1.4,1
4,5,03-Mar,00-sun,9.5,19,5.4,1.4,20
4,5,12-Dec,05-fri,-10.2,-5.1,6.6,1.8,30
4,5,04-Apr,06-sat,5.2,9.8,13.7,3.3,3
5,4,03-Mar,05-fri,13.9,21.3,9.5,1.3,10
5,5,03-Mar,05-fri,13.9,21.3,9.5,1.3,6
5,5,03-Mar,04-thu,14.8,21.2,7.9,1,1
5,5,02-Feb,02-tue,-1.7,4.1,12.2,1.8,6
5,4,11-Nov,04-thu,-0.3,6.7,4.5,0.7,10
5,5,06-Jun,01-mon,23.2,30.5,7.2,1,6
5,5,05-May,06-sat,14.4,20,15.8,3,50
5,4,04-Apr,03-wed,11.6,16.8,11.1,2.6,16
4,5,04-Apr,03-wed,11.6,16.8,11.1,2.6,100
5,5,04-Apr,01-mon,15.2,22.2,8.2,1.4,3
5,5,03-Mar,03-wed,7,15,7.4,1,10
5,4,03-Mar,00-sun,8.4,19,5.6,0.9,10
5,5,03-Mar,06-sat,8.7,16.7,9,1.6,2
5,5,03-Mar,06-sat,8.7,16.7,9,1.6,5
5,5,03-Mar,06-sat,8.7,16.7,9,1.6,10
5,5,03-Mar,06-sat,8.7,16.7,9,1.6,60
5,5,03-Mar,04-thu,5,13.7,7.2,1.2,10
4,6,04-Apr,01-mon,15.7,24.3,8.1,1.8,10
4,6,03-Mar,03-wed,5.4,14.7,6.1,1.4,20
4,6,03-Mar,06-sat,5.9,17.3,8.3,1.3,72
4,3,03-Mar,06-sat,13.5,21.3,7.5,1.7,1
4,3,11-Nov,04-thu,-1.3,3.8,8.4,3,13
3,4,04-Apr,06-sat,15.7,23.8,8.4,1.7,100
2,3,03-Mar,00-sun,5.2,10.4,6.3,1.5,10
3,3,01-Jan,00-sun,-5.4,-0.5,9.7,2.3,300
3,3,08-Aug,04-thu,29.5,36.2,9.1,2.1,1
3,3,08-Aug,04-thu,29.8,36.8,6.2,1,1
3,3,07-Jul,00-sun,30.2,36.4,7.7,1.7,6
6,2,03-Mar,03-wed,13.6,21.9,11.2,2.2,7
5,2,03-Mar,03-wed,14.4,25.7,9.1,1.8,16
5,2,02-Feb,06-sat,-3,3.3,12.6,2.9,6
5,2,03-Mar,01-mon,6.9,12,14.9,3.2,20
5,2,03-Mar,02-tue,7.6,13.4,10.8,2.9,2
5,2,03-Mar,06-sat,7.8,17.8,10.3,1.9,20
4,2,03-Mar,00-sun,7.3,15.6,8.6,2,50
5,2,03-Mar,06-sat,4.4,12.8,6.6,0.9,10
4,6,03-Mar,00-sun,8.5,16.4,7.1,1.8,16
3,5,02-Feb,00-sun,-8.2,-2.9,9.9,2,6
3,6,06-Jun,01-mon,21.2,29.6,6.7,1.5,33
4,5,06-Jun,06-sat,18.8,26.1,8.9,2.4,15
3,5,03-Mar,04-thu,8.5,16.3,5.3,1.1,10
4,6,03-Mar,03-wed,3.2,12.5,5.9,1.1,30
4,5,03-Mar,05-fri,1.9,11.1,8,1.5,10
6,4,11-Nov,01-mon,5.3,12.4,5.3,0.9,6
5,4,08-Aug,05-fri,25.7,32.4,7.8,2.8,20
7,4,08-Aug,02-tue,29.5,35.2,7.7,1.3,2
5,4,06-Jun,05-fri,23.3,31.9,7.3,1.5,3
7,4,04-Apr,06-sat,18.4,28.8,7.6,1.5,60
7,4,03-Mar,01-mon,10.8,20.1,7.3,1.3,50
6,4,03-Mar,05-fri,5.6,14,6.1,1.4,10
6,4,03-Mar,00-sun,6.4,12.8,7.9,1.5,6
6,4,11-Nov,04-thu,0.6,7.5,5.7,1.3,15
7,4,11-Nov,04-thu,0.6,7.5,5.7,1.3,7
5,5,06-Jun,05-fri,26.9,34.7,7.4,1.6,10
6,4,05-May,01-mon,19.7,27.7,5.5,1.5,10
6,4,04-Apr,01-mon,14.3,22.7,7.8,1.9,10
6,4,04-Apr,01-mon,14.6,22.3,7.4,2.1,20
5,5,04-Apr,02-tue,12.6,22.7,8,1.4,90
6,4,03-Mar,03-wed,8.1,15.5,5.7,1.4,26
5,4,03-Mar,03-wed,8.1,15.5,5.7,1.4,50
7,4,03-Mar,05-fri,7.6,14.6,5.5,1.1,1
6,4,03-Mar,04-thu,8.9,15.4,7,1.7,100
