latitude,longitude,month,day,avg_temp,max_temp,max_wind_speed,avg_wind,burned_area
37.8147596,126.9345549,12-Dec,04-thu,-11.2,-7.5,8.4,2.3,0.03
37.9023737,127.5310128,11-Nov,02-tue,2.6,11.2,5.9,0.8,0.1
37.8150097,127.3031154,03-Mar,05-fri,13.2,21.5,5.7,1.3,0.5
37.6454138,127.5047752,02-Feb,06-sat,-4,1.1,10.4,2.5,0.3
37.8116931,127.5144882,06-Jun,00-sun,23,32.1,6.7,1.7,0.08
37.7588603,127.2658307,05-May,03-wed,19.1,29.4,7.7,1.3,0.5
37.8855116,127.5020238,05-May,02-tue,17.8,27.6,5.8,1.2,0.2
37.8475877,127.3564572,04-Apr,06-sat,14,24.2,9.4,1.8,2
37.9130947,127.3521189,04-Apr,04-thu,10.9,19.1,10.4,2.2,0.09
37.876097,127.4850158,04-Apr,01-mon,12.4,22.5,8.5,1.7,0.03
37.8855116,127.5020238,04-Apr,00-sun,12.1,21.5,9.3,1.7,1.5
37.9008609,127.5608278,03-Mar,00-sun,6.6,18.1,6.1,0.8,2
37.7001864,127.5391,03-Mar,00-sun,6.6,18.1,6.1,0.8,0.6
37.7133451,127.5439448,03-Mar,06-sat,7.2,15.8,10,1.6,0.15
37.7634773,127.4959694,03-Mar,01-mon,5,12,6.3,1.7,0.1
37.8358494,127.3606238,03-Mar,06-sat,4.2,15.5,6.4,1.1,0.03
37.7122045,127.4517448,03-Mar,05-fri,2.3,11,7.4,1.7,0.05
37.6527676,127.4618745,03-Mar,05-fri,0.4,9.4,6.7,1.3,0.1
37.7926482,127.3553235,02-Feb,00-sun,-4.2,3.3,7.6,1.3,0.3
37.6624604,126.80758,04-Apr,02-tue,16,23.3,13.9,3.9,0.5
37.648114,126.911552,05-May,06-sat,17.8,28.3,6.7,1.2,0.03
37.42868,127.2756931,04-Apr,06-sat,17.3,27.5,7.4,1.2,0.01
37.4075971,127.2990316,04-Apr,05-fri,17.2,27.7,5.9,1.1,0.15
37.4298915,127.2790215,03-Mar,01-mon,6.5,15.7,6.3,1.5,0.01
37.3507953,127.3389078,02-Feb,02-tue,-2.7,4.3,9.4,1.9,0.01
37.3533819,127.3945442,06-Jun,03-wed,23.9,30.6,7.5,1.5,0.01
37.3176148,127.3101369,04-Apr,04-thu,12.2,19.9,10.5,2,0.17
37.4040487,127.2296975,04-Apr,00-sun,17.4,25.8,6.7,1.4,0.15
37.4040487,127.2296975,04-Apr,02-tue,12.8,21.8,8,1.4,0.5
37.4785939,127.3221576,04-Apr,01-mon,10.2,20,8.7,1.6,0.2
37.4738313,127.0458916,03-Mar,05-fri,7.3,14.2,5,1.4,0.01
37.4641363,127.378583,03-Mar,03-wed,4.4,12.3,5.1,1.2,0.09
37.3925052,127.4116994,02-Feb,04-thu,4.8,11.8,9.4,1.9,0.45
37.560545,127.100492,06-Jun,00-sun,24.3,33.1,6.5,1.7,0.01
38.0047211,127.0020782,05-May,06-sat,19.2,27.1,6.5,1.4,0.01
37.6011999,127.1255152,03-Mar,00-sun,9.5,19,5.4,1.4,0.2
37.669415,127.1808885,12-Dec,05-fri,-10.2,-5.1,6.6,1.8,0.3
37.7150589,127.1115834,04-Apr,06-sat,5.2,9.8,13.7,3.3,0.03
37.5241654,127.2910692,03-Mar,05-fri,13.9,21.3,9.5,1.3,0.1
37.7603357,127.2353326,03-Mar,05-fri,13.9,21.3,9.5,1.3,0.06
37.7503043,127.2042908,03-Mar,04-thu,14.8,21.2,7.9,1,0.01
37.7234874,127.3118975,02-Feb,02-tue,-1.7,4.1,12.2,1.8,0.06
37.5930502,127.3319687,11-Nov,04-thu,-0.3,6.7,4.5,0.7,0.1
37.6648974,127.2673261,06-Jun,01-mon,23.2,30.5,7.2,1,0.06
37.727745,127.3156642,05-May,06-sat,14.4,20,15.8,3,0.5
37.5878456,127.3045556,04-Apr,03-wed,11.6,16.8,11.1,2.6,0.16
37.7134936,127.1696775,04-Apr,03-wed,11.6,16.8,11.1,2.6,1
37.698404,127.2457819,04-Apr,01-mon,15.2,22.2,8.2,1.4,0.03
37.7461886,127.273453,03-Mar,03-wed,7,15,7.4,1,0.1
37.5497399,127.2949382,03-Mar,00-sun,8.4,19,5.6,0.9,0.1
37.6479973,127.2462134,03-Mar,06-sat,8.7,16.7,9,1.6,0.02
37.6741034,127.3034388,03-Mar,06-sat,8.7,16.7,9,1.6,0.05
37.7065851,127.2027441,03-Mar,06-sat,8.7,16.7,9,1.6,0.1
37.6186298,127.30468,03-Mar,06-sat,8.7,16.7,9,1.6,0.6
37.643254,127.2083714,03-Mar,04-thu,5,13.7,7.2,1.2,0.1
37.9070487,127.0396404,04-Apr,01-mon,15.7,24.3,8.1,1.8,0.1
37.9070487,127.0396404,03-Mar,03-wed,5.4,14.7,6.1,1.4,0.2
37.8971194,127.0702841,03-Mar,06-sat,5.9,17.3,8.3,1.3,0.72
37.3142821,127.0491559,03-Mar,06-sat,13.5,21.3,7.5,1.7,0.01
37.3324951,127.0105399,11-Nov,04-thu,-1.3,3.8,8.4,3,0.13
37.4433542,126.8219133,04-Apr,06-sat,15.7,23.8,8.4,1.7,1
37.3811293,126.6817105,03-Mar,00-sun,5.2,10.4,6.3,1.5,0.1
37.3784593,126.8568953,01-Jan,00-sun,-5.4,-0.5,9.7,2.3,3
37.3072866,126.8598827,08-Aug,04-thu,29.5,36.2,9.1,2.1,0.01
37.3370458,126.8783031,08-Aug,04-thu,29.8,36.8,6.2,1,0.01
37.3405942,126.8793564,07-Jul,00-sun,30.2,36.4,7.7,1.7,0.06
37.077418,127.5043446,03-Mar,03-wed,13.6,21.9,11.2,2.2,0.07
37.0831965,127.3102318,03-Mar,03-wed,14.4,25.7,9.1,1.8,0.16
